Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;7-PM-28D-RJS;7PM  0028D RJS;PAMPO;Trident Energy;480000037079755;2023/03;747,5368;0,0000;747,5368;7,7165;0,0000;7,7165;237,48600;7.949,7203;PLATAFORMA DE PAMPO-1;UEP;709;;;;< ºC;%;;%;> ºC;%;82,26211;7,87834;4,18306;0,79106;1,07618;0,27389;0,26129;0,16516;0,10247;0,0304;0,00052;0;0;0;0,35143;2,62409;2,01665;530,04315;38950,4123;09/05/2023
Rio de Janeiro;Campos;7-PM-26D-RJS;7PM  0026D RJS;PAMPO;Trident Energy;480000037079755;2023/03;589,7168;0,0000;589,7168;15,1040;0,0000;15,1040;464,84600;6.600,9079;PLATAFORMA DE PAMPO-1;UEP;675;;;;< ºC;%;;%;> ºC;%;82,26211;7,87834;4,18306;0,79106;1,07618;0,27389;0,26129;0,16516;0,10247;0,0304;0,00052;0;0;0;0,35143;2,62409;2,01665;530,04315;38950,4123;09/05/2023
Rio de Janeiro;Campos;7-PM-21D-RJS;7PM  0021D RJS;PAMPO;Trident Energy;480000037079755;2023/03;943,6547;0,0000;943,6547;5,8348;0,0000;5,8348;179,57300;740,0493;PLATAFORMA DE PAMPO-1;UEP;710;;;;< ºC;%;;%;> ºC;%;82,26211;7,87834;4,18306;0,79106;1,07618;0,27389;0,26129;0,16516;0,10247;0,0304;0,00052;0;0;0;0,35143;2,62409;2,01665;530,04315;38950,4123;09/05/2023
Rio de Janeiro;Santos;7-URG-10HP-RJS;7URG10HPRJS;URUGUÁ;Petrobras;480000035779741;2023/03;1.195,4565;0,0000;1.195,4565;38,4767;0,0000;38,4767;1.190,63700;515,7815;FPSO CIDADE DE SANTOS;UEP;664;2023/02;Tambaú-Uruguá;32,6;< 270ºC;34.18%;270ºC a 458ºC;35.72%;> 458ºC;30.1%;95,132;2,329;0,732;0,163;0,24;0,097;0,113;0,138;0,169;0,141;0,062;0;0;0;0,673;0,011;2,04863;533,78488;38124,8811;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-8D-RNS;7SER8DRNS;MACAU;3R Macau;480000038089762;2023/03;95,4225;0,0000;95,4225;1,2210;0,0000;1,2210;37,85200;944,3531;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;731;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-38D-RNS;7SER38DRNS;MACAU;3R Macau;480000038089762;2023/03;282,4884;0,0000;282,4884;0,1806;0,0000;0,1806;5,60000;736,8904;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;729;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-39D-RNS;7SER39DRNS;MACAU;3R Macau;480000038089762;2023/03;52,5741;0,0000;52,5741;0,1010;0,0000;0,1010;3,13100;288,1965;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;732;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-3H-RNS;7SER 0003H RNS;MACAU;3R Macau;480000038089762;2023/03;70,7711;0,0000;70,7711;5,2050;0,0000;5,2050;161,35500;264,0801;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;730;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
