Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;7-BUZ-17-RJS;7BUZ17RJS;TAMBUATÁ;Petrobras;48610012913201005;2023/03;179,1569;0,0000;179,1569;6,9957;0,0000;6,9957;32,67000;0,0254;Petrobras 74 (P-74);UEP;532;2023/02;Búzios;28,7;< 270ºC;32.1%;270ºC a 458ºC;27.3%;> 458ºC;40.6%;63,73;10,53;6,65;1;2,03;0,41;0,53;0,29;0,17;0,05;0,02;0,01;0;0,12;0,98;13,48;2,01938;530,36776;34968,0252;09/05/2023
Rio de Janeiro;Santos;3-BRSA-1064-RJS;3RJS700;TAMBUATÁ;Petrobras;48610012913201005;2023/03;168,9169;0,0000;168,9169;7,0175;0,0000;7,0175;32,77200;0,0972;Petrobras 76;UEP;512;2023/02;Búzios;28,7;< 270ºC;32.1%;270ºC a 458ºC;27.3%;> 458ºC;40.6%;63,73;10,53;6,65;1;2,03;0,41;0,53;0,29;0,17;0,05;0,02;0,01;0;0,12;0,98;13,48;2,01938;530,36776;34968,0252;09/05/2023
Rio de Janeiro;Santos;7-BUZ-18-RJS;7BUZ18RJS;TAMBUATÁ;Petrobras;48610012913201005;2023/03;121,9121;0,0000;121,9121;4,9640;0,0000;4,9640;23,18200;0,0000;Petrobras 76;UEP;236;2023/02;Búzios;28,7;< 270ºC;32.1%;270ºC a 458ºC;27.3%;> 458ºC;40.6%;63,73;10,53;6,65;1;2,03;0,41;0,53;0,29;0,17;0,05;0,02;0,01;0;0,12;0,98;13,48;2,01938;530,36776;34968,0252;09/05/2023
Rio de Janeiro;Santos;9-BUZ-7-RJS;9BUZ7RJS;TAMBUATÁ;Petrobras;48610012913201005;2023/03;15,4524;0,0000;15,4524;0,5803;0,0000;0,5803;2,71000;0,0000;Petrobras 74 (P-74);UEP;49;2023/02;Búzios;28,7;< 270ºC;32.1%;270ºC a 458ºC;27.3%;> 458ºC;40.6%;63,73;10,53;6,65;1;2,03;0,41;0,53;0,29;0,17;0,05;0,02;0,01;0;0,12;0,98;13,48;2,01938;530,36776;34968,0252;09/05/2023
Rio de Janeiro;Santos;7-BUZ-25-RJS;7BUZ25RJS;TAMBUATÁ;Petrobras;48610012913201005;2023/03;295,8666;0,0000;295,8666;12,0250;0,0000;12,0250;56,15800;0,1775;Petrobras 74 (P-74);UEP;535;2023/02;Búzios;28,7;< 270ºC;32.1%;270ºC a 458ºC;27.3%;> 458ºC;40.6%;63,73;10,53;6,65;1;2,03;0,41;0,53;0,29;0,17;0,05;0,02;0,01;0;0,12;0,98;13,48;2,01938;530,36776;34968,0252;09/05/2023
Rio de Janeiro;Santos;9-BRSA-1191-RJS;9RJS708;TAMBUATÁ;Petrobras;48610012913201005;2023/03;175,6744;0,0000;175,6744;9,2900;0,0000;9,2900;43,38500;0,0177;Petrobras 74 (P-74);UEP;522;2023/02;Búzios;28,7;< 270ºC;32.1%;270ºC a 458ºC;27.3%;> 458ºC;40.6%;63,73;10,53;6,65;1;2,03;0,41;0,53;0,29;0,17;0,05;0,02;0,01;0;0,12;0,98;13,48;2,01938;530,36776;34968,0252;09/05/2023
Rio de Janeiro;Santos;7-BUZ-14DA-RJS;7BUZ14DARJS;TAMBUATÁ;Petrobras;48610012913201005;2023/03;262,1092;0,0000;262,1092;10,6301;0,0000;10,6301;49,64300;1,1587;Petrobras 74 (P-74);UEP;533;2023/02;Búzios;28,7;< 270ºC;32.1%;270ºC a 458ºC;27.3%;> 458ºC;40.6%;63,73;10,53;6,65;1;2,03;0,41;0,53;0,29;0,17;0,05;0,02;0,01;0;0,12;0,98;13,48;2,01938;530,36776;34968,0252;09/05/2023
Rio de Janeiro;Santos;7-BUZ-36DA-RJS;7BUZ36DARJS;TAMBUATÁ;Petrobras;48610012913201005;2023/03;29,5205;0,0000;29,5205;1,8103;0,0000;1,8103;8,45400;0,0118;Petrobras 77;UEP;177;2023/02;Búzios;28,7;< 270ºC;32.1%;270ºC a 458ºC;27.3%;> 458ºC;40.6%;63,73;10,53;6,65;1;2,03;0,41;0,53;0,29;0,17;0,05;0,02;0,01;0;0,12;0,98;13,48;2,01938;530,36776;34968,0252;09/05/2023
