Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Espírito Santo;7-LP-76-ES;7LP  0076  ES;LAGOA PARDA;Capixaba Energia;480000037529718;2023/03;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Estação de Coleta e Tratamento de Lagoa Parda;INSTALACAO EMB/DESEMB;0;2022/02;Lagoa Parda;28,2;< 270ºC;30.6%;270ºC a 458ºC;38.2%;> 458ºC;31.2%;86,7084;5,2114;3,2063;0,675;1,2507;0,5857;0,4765;0,1787;0;0;0;0;0;0;0,7643;0,943;2,05664;534,82687;38635,247;09/05/2023
Rio Grande do Norte;Potiguar;4-ALC-2-RN;4ALC 0002  RN;PERIQUITO;Phoenix Óleo & Gás;486100080052004;2023/03;1,7995;0,0000;1,7995;0,0824;0,0000;0,0824;2,55400;10,8386;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;744;2015/07;Periquito;34,3;< 270ºC;35.6%;270ºC a 458ºC;33.7%;> 458ºC;30.7%;96,0202;0,6283;0,0956;0,0541;0,0676;0,0612;0,0821;0,4833;0;0;0;0;0;0;2,5076;0;2,18581;549,82609;36933,5602;09/05/2023
Sergipe;Sergipe;3-GALP-35-SE;3KRISHNA2SE;RABO BRANCO;Petrom;48610009198200558;2023/03;13,6536;0,0000;13,6536;0,0400;0,0000;0,0400;1,23900;1,3653;Ponto de Coleta TLD 1-GALP-12-SE;INSTALACAO EMB/DESEMB;208;2020/01;RABO BRANCO;34,9;< 270ºC;35.6%;270ºC a 458ºC;33.1%;> 458ºC;31.3%;68,9969;11,3481;6,9599;1,6022;2,337;1,0817;0,6123;0,2551;0;0;0;0;0;0;6,5211;0,2857;2,04797;533,79764;38542,78;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1193-RN;7ET1193RN;ESTREITO;Petrobras;480000037939797;2023/03;10,9719;0,0000;10,9719;0,0045;0,0000;0,0045;0,14100;192,1584;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;713;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Bahia;Recôncavo;7-DJ-804-BA;7DJ804BA;DOM JOÃO;3R Candeias  S.A.;480000036449737;2023/03;6,2709;0,0000;6,2709;0,0325;0,0000;0,0325;1,00600;185,5770;Estação Dom João;INSTALACAO EMB/DESEMB;719;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;68,53;5,09;10,87;3,9;3,97;1,23;1,05;0,64;0,15;0,04;0,01;0;0;0,03;1,77;2,72;2,08205;537,89382;37529,5793;09/05/2023
Paraná;Paraná;1-BB-1-PR;1BB  0001  PR;BARRA BONITA;Barra Bonita;48610001999201628;2023/03;0,0000;0,0000;0,0000;0,0000;20,0006;20,0006;620,02000;0,0000;Estação de Produção de Barra Bonita;INSTALACAO EMB/DESEMB;450;;;;< ºC;%;;%;> ºC;%;92,2989;4,508;0,9183;0,1357;0,1565;0,073;0,0313;0,0104;0;0;0;0;0;0;1,6488;0,2191;1,97673;525,25632;38298,6027;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1387D-RN;7ET1387DRN;ESTREITO;Petrobras;480000037939797;2023/03;1,7137;0,0000;1,7137;0,0007;0,0000;0,0007;0,02200;209,8619;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;739;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Bahia;Recôncavo;7-MJ-17-BA;7MJ  0017  BA;MATA DE SÃO JOÃO;PetroRecôncavo;480000036709747;2023/03;8,2642;0,0000;8,2642;0,1013;0,0000;0,1013;3,11200;220,6264;Estação S. Roque;INSTALACAO EMB/DESEMB;680;;;;< ºC;%;;%;> ºC;%;76,4173;8,8227;5,1695;1,3472;2,2675;0,8067;0,9588;0,8102;0,462;0,2093;0,0622;0,0126;0;0,0131;1,6131;1,0278;2,07908;537,49442;39478,7016;09/05/2023
