Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio Grande do Norte;Potiguar;7-SAB-12-RN;7SAB0012RN;SABIÁ;Potiguar E&P S.A.;480000039169735;2023/05;72,7607;0;72,7607;0,1212;0;0,1212;3,757;7,3842;Ponto de Coleta Sabiá SAB-05;INSTALACAO EMB/DESEMB;736;;;;< ºC;%;;%;> ºC;%;97,07;0,481;0,057;0,216;0,141;0,18;0,094;0,139;0,094;0,039;0,017;0;0;0;1,047;0,425;2,34569;569,32906;37284,2239;10/07/2023 02:36
Sergipe;Sergipe;9-CP-670-SE;9CP  0670  SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;18,0406;0;18,0406;0,0012;0;0,0012;0,037;304,216;Estação Coletora de Mercês;INSTALACAO EMB/DESEMB;708;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Sergipe;Sergipe;7-CP-47-SE;7CP  0047  SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;5,238;0;5,238;0,0004;0;0,0004;0,011;80,1933;Estação Coletora de Panelas;INSTALACAO EMB/DESEMB;569;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-REP-47-RN;7REP 0047  RN;BENFICA;3R Potiguar;4861000400398;2023/05;12,3394;0;12,3394;0,0528;0;0,0528;1,615;2195,4639;Est.Colet.A Redonda Profunda - Cpo. Red. Prof.;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-SBO-11-RN;7SBO0011RN;SABIÁ;Potiguar E&P S.A.;48610009128200516;2023/05;8,0027;0;8,0027;0,7873;0;0,7873;24,405;0,0195;Ponto de Coleta do PA-1STAR10RN-POT-T-748;INSTALACAO EMB/DESEMB;725;;;;< ºC;%;;%;> ºC;%;97,07;0,481;0,057;0,216;0,141;0,18;0,094;0,139;0,094;0,039;0,017;0;0;0;1,047;0,425;2,34569;569,32906;37284,2239;10/07/2023 02:36
Sergipe;Sergipe;7-CP-1336D-SE;7CP  1336D SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;17,8566;0;17,8566;0,1782;0;0,1782;5,525;35,0361;Estação Coletora de Oiteirinhos II;INSTALACAO EMB/DESEMB;742;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-1401-RN;7CAM1401RN;CANTO DO AMARO;3R Potiguar;480000037929724;2023/05;25,9396;0;25,9396;1,5741;0;1,5741;48,196;111,5705;Estação Coletora Central de Benfica;INSTALACAO EMB/DESEMB;729;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-FP-438-RN;7FP438RN;FAZENDA POCINHO;3R Potiguar;480000037999773;2023/05;2,17;0;2,17;0,0111;0;0,0111;0,345;318,7574;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;734;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;10/07/2023 02:35
Rio Grande do Norte;Potiguar;7-SBO-12-RN;7SBO0012RN;SABIÁ;Potiguar E&P S.A.;48610009128200516;2023/05;8,3332;0;8,3332;0,075;0;0,075;2,325;0,0357;Ponto de Coleta do PA-1STAR10RN-POT-T-748;INSTALACAO EMB/DESEMB;728;;;;< ºC;%;;%;> ºC;%;97,07;0,481;0,057;0,216;0,141;0,18;0,094;0,139;0,094;0,039;0,017;0;0;0;1,047;0,425;2,34569;569,32906;37284,2239;10/07/2023 02:36
Sergipe;Sergipe;7-CP-322-SE;7CP  0322  SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;14,2044;0;14,2044;0,0005;0;0,0005;0,017;12,0878;Estação Coletora de Santa Barbara;INSTALACAO EMB/DESEMB;742;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
